title,date,links,content
Bayi Piatu Gizi Buruk yang Dititip Ayah ke Tetangga Meninggal,12/31/2019 15:05,https://news.detik.com/berita/d-4841560/bayi-piatu-gizi-buruk-yang-dititip-ayah-ke-tetangga-meninggal,". -  Bayi berusia enam bulan yang menderita gizi buruk dikabarkan meninggal dunia. Bayi yang bernama Reski Aditia itu meninggal saat dirawat intensif di RS Tajuddin Chalid ., Sulawesi Selatan. ""Iye' barusan meninggal (sekitar pukul 15.20 Wita),"" ujar Emi Wardani (30), perempuan yang sempat mengasuh Reski, kepada wartawan, Selasa (31/12/2019). Baca juga: Kisah Bayi Piatu Gizi Buruk, Ayah Tak Punya Biaya-Dititip ke TetanggaReski dilarikan ke rumah sakit pada Senin (30/12) setelah kondisinya memburuk. Namun nyawa Reski tidak tertolong meski telah diberi perawatan intensif. Emi mengatakan bayi itu sempat tiga kali drop sebelum meninggal. 


 
















SCROLL TO CONTINUE WITH CONTENT

""Tiga kali mi drop, drop terakhirnya mi ini, ndag bisami,"" kata Emi. Reski merupakan anak dari pasangan asal Pangkep, Nur Jannah dan Udin. Nur Jannah wafat saat bayinya itu masih berusia 3 bulan.



.

                1            

                2            


            Selanjutnya 





. biro. bayi gizi buruk gizi buruk"
"Kisah Bayi Piatu Gizi Buruk, Ayah Tak Punya Biaya-Dititip ke Tetangga",12/31/2019 9:50,https://news.detik.com/berita/d-4841109/kisah-bayi-piatu-gizi-buruk-ayah-tak-punya-biaya-dititip-ke-tetangga,". -  Kondisi seorang bayi yang mengalami gizi buruk di ., Sulawesi Selatan, menjadi perbincangan usai video kondisinya ramai dibahas di media sosial. Bayi berusia enam bulan bernama Reski Aditia itu sudah tak punya ibu dan ayahnya juga tak sanggup membiayai perawatannya.Reski merupakan anak dari pasangan asal Pangkep, Nur Jannah dan Udin. Nur Jannah wafat saat bayinya masih berusia 3 bulan.Udin yang saat itu berada di . berangkat ke Pangkep untuk mengasuh anaknya. Udin sempat merawat bayinya itu hingga November 2019.


 
















SCROLL TO CONTINUE WITH CONTENT

""Jadi ceritanya Pak Udin itu ngekos di Pasar Daya, dekat kompleks perumahan saya. Jadi dari situ, bayi ini dilihat sama tetangga saya yang namanya Hasbi Zaenal,"" kata Emi yang kini mengasuh Reski, Selasa (31/12/2019).Baca juga: Jelang Tahun Baru, Satpol PP . Razia Kondom-Tisu Magic di MinimarketUdin sempat merawat Reski yang menderita gizi buruk hingga akhirnya tak punya biaya karena harus mengurus dua anaknya yang masih berusia 2 dan 3 tahun. Emi menyebut Udin menitipkan Reski ke tetangganya bernama Hasbi Zaenal untuk dirawat. ""Pak Udin dia bilang, 'bawa meki anak ku Pak, karena dia sudah tidak layak tinggal di sini, karena selama ini dia cuma kasi minum air putih, bukan susu, karena ndag ada biaya', telantar ki Pak di .,"" kata Emi. 



.

                1            

                2            


            Selanjutnya 





biro. . gizi buruk"
Kata Ahli Gizi Soal DJ Dinar Candy Minum Susu Langsung dari Sapi,12/29/2019 18:21,https://health.detik.com/berita-detikhealth/d-4839411/kata-ahli-gizi-soal-dj-dinar-candy-minum-susu-langsung-dari-sapi,". - Beberapa waktu lalu DJ Dinar Candy ramai diperbincangkan netizen karena minum susu sapi langsung tanpa diolah. Banyak orang berpendapat bahwa itu terlalu menjijikkan dan kurang pantas. Apa kata ahli gizi soal ini?Ahli gizi dari Institut Pertanian ., Profesor Dr Ir Hardinsyah, MS, mengatakan minum susu sapi segar sebetulnya aman. Hanya dengan catatan prosesnya dilakukan dengan baik.Baca juga: Dinar Candy Minum Susu Segar Langsung dari Sapinya, Aman Nggak Sih?""Minum susu sapi segar aman selagi proses pemerahan dan penyimpanan serta penyajian dengan cara yang baik,"" jelasnya saat dihubungi detikcom baru-baru ini, Minggu (29/12/2019).


 
















SCROLL TO CONTINUE WITH CONTENT

Meski dinilai aman, minum susu sapi segar juga memiliki kelemahan. Pria yang akrab disapa Prof Hardin ini menjelaskan risiko kontaminasi bisa terjadi ditambah mungkin rasanya yang membosankan bagi beberapa orang. Dari segi gizi sendiri kandungan susu sapi segar zat gizinya masih utuh meski mungkin tak selengkap susu yang sudah difortifikasi. ""Kelemahannya minim kandungan zat besi. Kemudian bagi orang tertentu cita rasanya bisa membosankan tanpa variasi cita rasa,"" pungkasnya.Baca juga: 5 Alasan Tak Minum Susu Langsung dari Sapi Seperti Dinar Candy
Simak Video ""Apa Iya Oatmilk Lebih Sehat daripada Susu Sapi?""
[Gambas:Video 20detik]
(fds/fds)


dj dinar candy dinar candy minum susu susu sapi susu segar viral"
Cara Sehat Jalankan Resolusi Diet di Tahun Baru,12/29/2019 14:34,https://health.detik.com/berita-detikhealth/d-4839215/cara-sehat-jalankan-resolusi-diet-di-tahun-baru,". - Jelang tahun baru, tak lengkap rasanya bila tidak memiliki resolusi untuk kebaikan diri. Salah satu resolusi yang paling sering direncanakan adalah hidup lebih sehat dan mencoba melakukan diet untuk mendapat tubuh yang ideal.Head of Medical Kalbe Nutritionals dr Muliaman Mansyur mengatakan untuk menjalani diet sehat diperlukan tekad dan niat yang teguh agar tak gagal. Selain itu, ada baiknya untuk memecah resolusi kita menjadi beberapa tahap, dan memulainya dengan langkah kecil terlebih dahulu. Baca juga: Pensiun di Akhir Tahun, Yuk Bikin Resolusi Sehat di Hari Tua""Pola diet yang paling tepat adalah mengatur jumlah kalori yang masuk, tidak lebih dari energi yang dikeluarkan bukan mengurangi waktu makan atau juga menghilangkan nutrisi tertentu,"" ujar dr Muliaman kepada detikHealth baru-baru ini.


 
















SCROLL TO CONTINUE WITH CONTENT

Sebagai kesimpulan agar resolusi diet untuk menurunkan atau menjaga berat badan di 2020 berjalan baik, maka tetapkan niat yang kuat paling tidak agar lebih sehat dan terhindar dari penyakit berbahaya di 2020.""Kemudian atur pola makan dengan baik mulai dengan pola diet seimbang dengan mengatur jumlah kalori yang masuk, atau berolahraga-exercise 30 menit sehari. Bukan menghilangkan nutrisi atau hanya makan makanan tertentu saja,"" tuturnya.dr Muliaman menyebutkan prinsip nutrisi saat diet itu ada 6 macam, karbohidrat, protein, lemak, vitamin, mineral dan air. Yang paling penting batasan kalori kurang lebih 1200-1300 kkal per hari dan biasanya lemak dan karbohidratnya yang harus berkurang.""Protein, serat serta karbohidrat lepas lambat seperti isomaltulosa adalah nutrisi yang sangat berperan dalam mengontrol kalori yang masuk sehingga bisa mengontrol berat badan,"" jelasnya.Baca juga: Jaga Gaya Hidup Sehat dengan Makanan Pengganti Nutrisi dari AlamNah, salah satu nutrisi yang mengandung nutrisi diatas adalah Slim & Fit yang bisa menjadi alternatif untuk mengatur masuk nya kalori pengganti sarapan dan makan malam dengan kandungan gizi yang lengkap dan seimbang untuk diet.Slim & Fit Cookies hanya mengandung 90 kalori serta terbuat dari oat, multigrain, dan serat, sehingga bisa digunakan sebagai camilan untuk orang yang sedang diet. Kemasan sachet yang praktis juga mudah dibawa ke mana-mana.
		Simak Video ""Pola Hidup Sehat untuk Anak Muda Demi Kesehatan Jantung""
[Gambas:Video 20detik]
(ega/ega)


diet hidup sehat resolusi 2020 tahun baru 2020"
"Susu Kental Manis Boleh Dikonsumsi Anak, Ini Cara Aman Kata Dokter",12/27/2019 17:40,https://health.detik.com/berita-detikhealth/d-4837772/susu-kental-manis-boleh-dikonsumsi-anak-ini-cara-aman-kata-dokter,". - Kandungan gula yang tinggi pada susu kental manis (SKM) memang berbahaya bila dikonsumsi secara berlebihan, terutama pada anak. Meski begitu, anak-anak tetap diperbolehkan mengonsumsi SKM, tetapi dengan takaran yang tepat dan tidak melebihi batas konsumsi gula 30 gram per hari.Ahli gizi, dr Diana F Suganda, MKes, SpGK menjelaskan bahwa pemberian SKM pada anak masih diperbolehkan, tetapi bukan untuk asupan yang utama. Karena asupan nutrisi yang utama adalah makan dengan gizi seimbang, seperti karbohidrat, protein, lemak dan sayur serta buah-buahan.Baca juga: Kenapa Masih Ada yang percaya Susu Kental Manis Produk Susu?


 
















SCROLL TO CONTINUE WITH CONTENT

""SKM itu bisa dijadikan penambah nafsu makan anak. Misalnya, mau cemilannya dikasih apa? Dia nggak suka makan buah, dibuatkan pisang goreng dikasih SKM gitu kan masih bisa,"" kata dr Diana kepada detikcom, Jumat (27/12/2019).dr Diana juga menegaskan, meski SKM tetap diperbolehkan untuk anak tetapi tidak untuk dikonsumsi secara rutin. Kandungan gula yang tinggi, bisa membuat anak jadi cepat kenyang sehingga berkurangnya nutrisi yang masuk pada tubuh.""Sedangkan anak-anak itu harus banyak-banyak di protein ya. Protein itu untuk kembang, daya pikir, untuk konsentrasi, semuanya. Ibaratnya bikin rumah kalau dia pondasinya, protein itu dindingnya, batu batanya. Jadi, pondasinya,"" pungkasnya.Baca juga: Kenapa Masih Ada yang percaya Susu Kental Manis Produk Susu?
Simak Video ""Kata Ahli Gizi soal Dampak Makanan yang Dipanaskan Ulang""
[Gambas:Video 20detik]
(wdw/wdw)


susu kental manis susu kental manis bukan susu kental manis ahli gizi kandungan gula"
Kenapa Masih Ada yang percaya Susu Kental Manis Produk Susu?,12/27/2019 15:31,https://health.detik.com/berita-detikhealth/d-4837549/kenapa-masih-ada-yang-percaya-susu-kental-manis-produk-susu,". - Susu kental manis (SKM) sudah tidak dikategorikan lagi sebagai produk susu oleh Badan Pengawas Obat dan Makanan (BPOM) pada 2018 lalu. Namun studi menunjukkan masih ada saja orang tua yang percaya bahwa SKM adalah produk susu.Penelitian yang dilakukan Yayasan Abhipraya Insan Cendekia Indonesia (YAICI) bersama PP (Pimpinan Pusat) Aisyiyah melihat sebanyak 37 responden orang tua percaya SKM adalah susu, sedangkan 73 persen lainnya mengaku tahu informasi SKM dari iklan televisi. Studi ini dilakukan di wilayah Provinsi Aceh, Kalimantan Tengah dan Sulawesi Utara pada September hingga November 2019.Menurut ahli gizi, dr Diana F Suganda, MKes, SpGK, pola pikir orang tua yang masih terjebak oleh iklan SKM pada beberapa waktu lalu menjadi penyebabnya.


 
















SCROLL TO CONTINUE WITH CONTENT

Baca juga: Ternyata 37 Persen Orang Tua Masih Percaya Susu Kental Manis Produk Susu""Mungkin zaman dulu iklannya juga diminum, pada zaman dulu nih SKM dituang di gelas, dikasih air lalu diminum. Sebenarnya mindset-nya orang tua harus diganti,"" kata dr Diana kepada detikcom, pada Jumat (27/12/2019).dr Diana juga menjelaskan SKM hanya baik digunakan sebagai toping atau penambah rasa pada makanan. Seperti misalnya diberikan di atas roti atau pisang, tetapi tidak untuk diminum.Kurangnya edukasi yang diberikan pada masyarakat terhadap kegunaan SKM menjadi masalah utama yang perlu diperbaiki.""Ternyata fenomena itu masih terjadi, walaupun mereka (produsen) sudah mengubah nama kemasan jadi kental manis dan mungkin untuk diiklan atau di banner, mereka harus jelasin ini bukan susu dan ini digunakan hanya sebagai toping dan pelengkap makanan, minuman, supaya istilah mereka dapat mengerti kalau ini bukan susu,"" pungkasnya.Baca juga: Bukan Cuma Tak Bergizi, Susu Kental Manis juga Bisa Buat Gigi Anak Rontok
Simak Video ""Sampai Usia Berapa Sih Anak Harus Minum ASI?""
[Gambas:Video 20detik]
(fds/fds)


susu kental manis susu kental manis bukan susu susu kental manis tak bernutrisi susu ahli gizi"
Ternyata 37 Persen Orang Tua Masih Percaya Susu Kental Manis Produk Susu,12/27/2019 14:00,https://health.detik.com/berita-detikhealth/d-4837411/ternyata-37-persen-orang-tua-masih-percaya-susu-kental-manis-produk-susu,". - Susu kental manis (SKM) dikategorikan oleh Badan Pengawas Obat dan Makanan (BPOM) sebagai bahan pelengkap makanan bukan produk susu. Namun demikian studi melihat masih ada saja orang tua yang percaya bahwa SKM sebagai susu yang baik dikonsumsi untuk anak.Penelitian yang dilakukan Yayasan Abhipraya Insan Cendekia Indonesia (YAICI) bersama PP (Pimpinan Pusat) Aisyiyah melihat sebanyak 37 responden percaya SKM adalah susu. Studi ini dilakukan di wilayah Provinsi Aceh, Kalimantan Tengah dan Sulawesi Utara pada September hingga November 2019.Lebih dari setengah responden atau sekitar 73 persen mengaku tahu informasi SKM dari iklan televisi.


 
















SCROLL TO CONTINUE WITH CONTENT

Menanggapi hal ini ahli gizi dr Titi Sekarindah, MS, SpGK, mengungkapkan rasa keprihatinannya. Kandungan gula yang tinggi pada SKM akan berbahaya bagi kesehatan anak karena kebutuhan nutrisi seperti kalsium, mineral dan vitamin yang ada di susu tak akan didapat dari SKM.Baca juga: Bukan Cuma Tak Bergizi, Susu Kental Manis juga Bisa Buat Gigi Anak Rontok""Susu kental manis itu hanya untuk jajanan selingan sekali-sekali. Jadi, anjuran saya jangan menyediakan di rumah, kalau menyediakan di rumah otomatis semuanya akan pakai susu kental manis, karena kan praktis,"" kata dr Titi kepada detikcom, pada Jumat (27/12/2019).dr Titi juga mengimbau agar orang tua sama sekali tidak memberikan SKM pada anak karena kandungan nutrisi yang sangat kurang untuk memenuhi gizi seimbang.""Tidak ada nilai gizinya, cuma isinya gula sama lemak. Sehingga, padahal anak itu butuh protein. Protein itu kan untuk semua dia tumbuh, perkembangan otaknya, supaya sekolahnya bisa lebih pintar, karena semuanya itu butuh protein ya, sehingga dia bisa tumbuh tambah tinggi,"" tuturnya.Baca juga: Anak Obesitas karena Susu Kental Manis Bisa Jadi Tanda Kurang Gizi
Simak Video ""Catat! Ini 4 Pilar Gizi Seimbang untuk Jaga Tubuh Tetap Sehat""
[Gambas:Video 20detik]
(fds/fds)


susu kental manis gizi anak orang tua susu"
"Bukan Cuma Tak Bergizi, Susu Kental Manis juga Bisa Buat Gigi Anak Rontok",12/27/2019 7:46,https://health.detik.com/berita-detikhealth/d-4836941/bukan-cuma-tak-bergizi-susu-kental-manis-juga-bisa-buat-gigi-anak-rontok,". - Susu kental manis (SKM) memang tidak direkomendasikan untuk dikonsumsi oleh anak. Tak hanya mempunyai kandungan gula yang tinggi dan berbahaya bagi kesehatan, SKM juga bisa membuat gigi anak jadi rontok.Menurut ketua Bidang Kesahatan Pimpinan Pusat Muslimat NU (Nahdlatul Ulama), dr Erna Yulia Sofihara, akar gigi anak yang masih lemah akan sangat rentan bila terkena kandungan gula pada SKM yang tinggi.""Karena efek gula itu kan tanggal semua giginya, karena ada proses kimiawi antara kalsium yang ada di gigi dengan zat-zat yang ada di kandungan gula itu bereaksi merontokan gigi. Nah itu akibat gula,"" kata dr Erna saat ditemui, pada Kamis (26/12/2019).


 
















SCROLL TO CONTINUE WITH CONTENT

Baca juga: Penjelasan Dokter kenapa Anak Bisa Kecanduan Susu Kental Manisdr Erna juga menjelaskan gigi yang rontok juga akan berpengaruh pada pencernaan anak, karena makanan yang dikunyah tak akan jadi halus. Meski begitu, pada usia 7 tahun gigi akan mulai tumbuh kembali, tetapi kemungkinan gigi yang tumbuh akan jadi kurang bagus.""Kalau si akar strukturnya rusak karena gula itu, nanti pas tumbuh ada yang gingsul lah, berantakan nggak beraturan gitu,"" tuturnya.Baca juga: Anak Obesitas karena Susu Kental Manis Bisa Jadi Tanda Kurang Gizi
Simak Video ""Catat! Ini 4 Pilar Gizi Seimbang untuk Jaga Tubuh Tetap Sehat""
[Gambas:Video 20detik]
(wdw/wdw)


susu kental manis gizi anak gigi anak gula"
Penjelasan Dokter kenapa Anak Bisa Kecanduan Susu Kental Manis,12/26/2019 19:31,https://health.detik.com/berita-detikhealth/d-4836758/penjelasan-dokter-kenapa-anak-bisa-kecanduan-susu-kental-manis,". - Susu kental manis (SKM) mempunyai rasa yang nikmat karena kandungan gulanya yang tinggi. Namun perlu diketahui SKM akan jadi berbahaya bagi kesehatan bila dikonsumsi secara berlebihan, terlebih pada anak-anak.Berdasarkan penelitian terbaru oleh PP (Pimpinan Pusat) Aisyiyah dan Yayasan Abhipraya Insan Cendikia Indonesia (YAICI), saat ini banyak anak-anak yang mengalami rasa kecanduan mengonsumsi SKM. Dampaknya sebagian dari mereka disebut mengalami gizi buruk.Baca juga: Anak Obesitas karena Susu Kental Manis Bisa Jadi Tanda Kurang Gizi""Itu pengalaman kami rata-rata di survey, termasuk saat di Bali. Ada salah satu ibu bercerita bahwa anaknya masih suka dikasih SKM dan dia tidak pernah mau lepas, karena sudah kecanduan. Itu anak kecil kecanduan dan tak mau lepas sama sekali. Temuan kami di Bantargebang juga hampir semuanya tidak mau lepas dari SKM. Bahkan, orangtuanya dilempar botol,"" kata ketua Harian YAICI, Arif Hidayat saat ditemui pada Kamis (26/12/2019).


 
















SCROLL TO CONTINUE WITH CONTENT

Menjelaskan hal ini Ketua Bidang Kesahatan Pimpinan Pusat Muslimat NU (Nahdlatul Ulama), dr Erna Yulia Sofihara, mengatakan bahwa rasa kecanduan yang timbul pada anak saat mengonsumsi SKM sebetulnya tidak sama seperti rokok. Ini karena di dalam SKM tidak terdapat zat adiktif.""Susu kental manis itu tidak ada zat-zat yang menyebabkan adiktif, tetapi hanya jadi kebiasaan sama seperti anak kecil kalau dikasih cokelat maunya kan terus-terusan seperti itu. Jadi, karena faktor psikologis kebiasaan, jadi dia kaya kecanduan, tapi zatnya sendiri tidak menyebabkan kecanduan,"" ucap dr Erna meluruskan.Baca juga: 'Tertipu' Susu Kental Manis, Studi Temukan 12 Persen Anak Idap Gizi Buruk
Simak Video ""Lebih dari Separuh Populasi Dunia Diprediksi Alami Obesitas pada 2035""
[Gambas:Video 20detik]
(fds/fds)


susu kental manis susu kental manis bukan susu susu kental manis tidak mengandung susu obesitas anak gizi buruk"
Anak Obesitas karena Susu Kental Manis Bisa Jadi Tanda Kurang Gizi,12/26/2019 18:02,https://health.detik.com/berita-detikhealth/d-4836616/anak-obesitas-karena-susu-kental-manis-bisa-jadi-tanda-kurang-gizi,". - Sudah bukan rahasia lagi kalau susu kental manis (SKM) mempunyai kandungan gula yang tinggi. Mengonsumsi SKM secara berlebihan juga bisa menyebabkan obesitas, terlebih bila ini terjadi pada anak-anak.Anak yang obesitas akibat terlalu banyak mengonsumsi SKM disebut peneliti bisa jadi mengalami kekurangan gizi. Ketua Bidang Kesahatan Pimpinan Pusat Muslimat NU (Nahdlatul Ulama), dr Erna Yulia Sofihara, menjelaskan ini karena kandungan gula pada SKM membuat perut anak cepat kenyang sehingga mengakibatkan kurangnya asupan nutrisi pada tubuh anak.Baca juga: Makan Terlalu Cepat? Hati-hati Berat Badan Cepat Naik""Otomatis kalau sudah minum susu (SKM) itu kenyang perutnya dia nggak mau makan yang lain anaknya itu, otomatis di dalam tubuhnya kekurangan vitamin, protein, mineral dan sebagainya. Yang ada gula saja di tubuh dan anak juga biasanya yang terlalu banyak konsumsi gula jadi gemuk nggak karu-karuan. Gemuk tapi lembek gitu nggak lincah,"" kata dr Erna saat ditemui pada Kamis (26/12/2019).


 
















SCROLL TO CONTINUE WITH CONTENT

Dampak yang ditimbulkan akibat kurangnya nutrisi ini dapat terlihat mempengaruhi sistem motorik anak.""Kalau obesitas kan sudah kelihatan, tapi kalau secara anak kurang gizi dilihat dari tingkat motorik. Kan ada perkembangan anak misalnya harusnya usia sekian bulan sudah bisa megang, nah dari situ kita bisa lihat dan itu harus konsultasi ke tumbuh kembang anak, kalau untuk itu sudah ke medis,"" lanjut dr Erna.""Secara kasat mata kita bisa membedakan. Ini anak seharusnya sudah bisa duduk, tapi belum. Jadi tidak hanya badannya yang kurang sehat tapi secara kecerdasannya pun tidak,"" pungkasnya.Baca juga: 'Tertipu' Susu Kental Manis, Studi Temukan 12 Persen Anak Idap Gizi Buruk
Simak Video ""Faktor Obesitas Tak Hanya karena Makan Banyak""
[Gambas:Video 20detik]
(fds/fds)


susu kental manis susu kental manis bukan susu susu kental manis tidak mengandung susu obesitas obesitas anak"
